Institution,State,Type,Number of Students,% of Score Senders
California State University Apply,CA,Public College,11909,19%
University of California: Los Angeles,CA,Public College,11602,19%
University of Southern California,CA,Private College,8866,14%
University of California: Irvine,CA,Public College,6661,11%
University of California: Berkeley,CA,Public College,5816,10%
University of California: San Diego,CA,Public College,5696,9%
University of California: Davis,CA,Public College,5053,8%
University of California: Riverside,CA,Public College,4899,8%
University of California: Santa Barbara,CA,Public College,4605,8%
California State University: Long Beach,CA,Public College,4496,7%
California State University: Northridge,CA,Public College,3880,6%
California State University: Los Angeles,CA,Public College,3798,6%
Stanford University,CA,Private College,3795,6%
California Polytechnic State Univ San Luis Obispo,CA,Public College,3564,6%
San Diego State University,CA,Public College,3424,6%
New York University,NY,Private College,3214,5%
University of California: Santa Cruz,CA,Public College,2790,5%
Arizona State University,AZ,Public College,2581,4%
Boston University,MA,Private College,2532,4%
University of Washington,WA,Public College,2501,4%
California State University: Fullerton,CA,Public College,2431,4%
Carnegie Mellon University,PA,Private College,2257,4%
California State University: San Bernardino,CA,Public College,2245,4%
California State Polytechnic University: Pomona,CA,Public College,2231,4%
University of Michigan,MI,Public College,2172,4%
University of Oregon,OR,Public College,2166,4%
Santa Clara University,CA,Private College,1806,3%
California State University: Sacramento,CA,Public College,1801,3%
University of California: Merced,CA,Public College,1765,3%
University of Texas at Austin,TX,Public College,1757,3%
NCAA Eligibility Center,IN,Public College,1567,3%
Cornell University,NY,Private College,1557,3%
San Jose State University,CA,Public College,1544,3%
University of San Diego,CA,Private College,1526,3%
Purdue University,IN,Public College,1481,2%
Harvard College,MA,Private College,1461,2%
San Francisco State University,CA,Public College,1453,2%
Northeastern University,MA,Private College,1391,2%
University of San Francisco,CA,Private College,1340,2%
University of Pennsylvania,PA,Private College,1316,2%
California State University: Fresno,CA,Public College,1312,2%
Princeton University,NJ,Private College,1290,2%
Columbia University,NY,Private College,1260,2%
Brown University,RI,Private College,1221,2%
Georgetown University,DC,Private College,1219,2%
