Institution,State,Type,Number of Students,% of Score Senders
California State University Apply,CA,Public College,49427,23%
University of California: Los Angeles,CA,Public College,44305,21%
University of California: Irvine,CA,Public College,42824,20%
California State University: Long Beach,CA,Public College,39609,19%
San Diego State University,CA,Public College,33890,16%
University of California: San Diego,CA,Public College,31655,15%
University of California: Santa Barbara,CA,Public College,31512,15%
University of California: Davis,CA,Public College,30220,14%
University of California: Berkeley,CA,Public College,29072,14%
California State University: Fullerton,CA,Public College,27447,13%
University of Southern California,CA,Private College,27429,13%
California Polytechnic State Univ San Luis Obispo,CA,Public College,25358,12%
University of California: Riverside,CA,Public College,25042,12%
University of California: Santa Cruz,CA,Public College,21646,10%
California State Polytechnic University: Pomona,CA,Public College,19580,9%
California State University: Los Angeles,CA,Public College,19455,9%
San Jose State University,CA,Public College,18752,9%
California State University: Northridge,CA,Public College,16754,8%
California State University: Sacramento,CA,Public College,16509,8%
San Francisco State University,CA,Public College,16239,8%
University of California: Merced,CA,Public College,16051,8%
Stanford University,CA,Private College,12809,6%
University of San Diego,CA,Private College,12334,6%
California State University: Chico,CA,Public College,12307,6%
California State University: Fresno,CA,Public College,12186,6%
California State University: Dominguez Hills,CA,Public College,9950,5%
California State University: San Marcos,CA,Public College,9766,5%
California State University: San Bernardino,CA,Public College,9570,5%
New York University,NY,Private College,9564,5%
University of San Francisco,CA,Private College,9538,5%
University of Oregon,OR,Public College,9252,4%
Arizona State University,AZ,Public College,9251,4%
University of Washington,WA,Public College,9210,4%
California State University: East Bay,CA,Public College,8621,4%
Loyola Marymount University,CA,Private College,8167,4%
NCAA Eligibility Center,IN,Public College,7980,4%
California State University: Monterey Bay,CA,Public College,7345,4%
University of the Pacific,CA,Private College,7105,3%
Chapman University,CA,Private College,6908,3%
Pepperdine University,CA,Private College,6831,3%
Boston University,MA,Private College,6803,3%
Santa Clara University,CA,Private College,6763,3%
Sonoma State University,CA,Public College,6552,3%
Cornell University,NY,Private College,5963,3%
University of Michigan,MI,Public College,5788,3%
